test,type,ID,Title,Conditions,Age,All Conditions?,Tags,DIY Type,Issue,Service Type,Treatment Category,Published,Link
,provider,597,Bradford Health Services - Neal St.,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-neal-st
,provider,598,Bradford Health Services - Shallowford Rd.,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-shallowford-rd
,provider,601,Bradford Health Services - South Gallaher View Rd,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-south-gallaher-view-rd
,provider,529,BrainsWay Deep Transcranial Magnetic Stimulation (Deep TMS) Treatment,Depression,18+,,,,,Medical,,publish,brainsway-deep-transcranial-magnetic-stimulation-deep-tms-treatment
,diy,177,Breaking up with an Addiction,Addiction,"11-17, 18+",,,Other,"Anger, Confidence, Fear, Life & Trauma, Sadness",,,publish,breaking-addiction
,diy,180,Budgeting and Tracking Forms,"Anxiety, Bipolar, Depression, PTSD, Addiction","11-17, 18+",,,Other,"Changing Thoughts, Confidence, Sadness",,,draft,budgeting-and-tracking-forms
,diy,546,Buscando lo bueno,,"Under 11, 11-17, 18+",x,Español/Spanish,Document,"Anger, Changing Thoughts, Fear, Life & Trauma, Sadness, Stress",,,publish,buscando-lo-bueno
,condition,353,Can an app help my mental health problems?,,"Under 11, 11-17, 18+",x,,,,,,publish,can-app-help-my-mental-health-problems
,treatment,250,Can chromium help treat depression?,"Anxiety, Bipolar, Depression, PTSD","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,can-chromium-help-treat-depression
,treatment,609,Can esketamine treat depression?,Depression,"Under 11, 11-17, 18+",,,,,,"Medical, Therapy, Treatment Resistance",publish,can-esketamine-treat-depression
,condition,282,Can I be fired for my mental illness?,,"Under 11, 11-17, 18+",x,Workplace,,,,,publish,can-i-be-fired-my-mental-illness
,condition,288,Can I go to AA if I don't believe in God?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,can-i-go-aa-if-i-dont-believe-god
,condition,203,Can I live a good life with bipolar disorder?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,can-i-live-good-life-bipolar-disorder
,condition,272,Can I smoke pot without being addicted?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,can-i-smoke-pot-without-being-addicted
,condition,271,Can I use FMLA for mental health?,,"Under 11, 11-17, 18+",x,"Caregiver, Workplace",,,,,publish,can-i-use-fmla-mental-health
,condition,538,Can I use my PTO to take care of a sick family member?,,"Under 11, 11-17, 18+",x,"Caregiver, Workplace",,,,,publish,can-i-use-my-pto-take-care-sick-family-member
,treatment,608,Can ketamine treat depression?,Depression,"Under 11, 11-17, 18+",,,,,,"Medical, Therapy, Treatment Resistance",publish,can-ketamine-treat-depression
,treatment,258,Can SAM-e help treat depression?,Depression,"Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,can-sam-e-help-treat-depression
,treatment,261,Can yoga help improve my mental health?,"Anxiety, Depression, PTSD","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,can-yoga-help-improve-my-mental-health
,condition,437,Can you be addicted to a behavior?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,can-you-be-addicted-behavior
,condition,158,Can you have an eating disorder if you arenâ€™t skinny?,Eating Disorder,"Under 11, 11-17, 18+",,,,,,,publish,can-you-have-eating-disorder-if-you-arent-skinny
,provider,559,Center for Behavioral Health at Spalding University,"ADHD, Anxiety, Depression, Loneliness, Sleep","Under 11, 11-17, 18+",,"Parent, Youth",,,"Community Support, Groups, Online, Therapy",,publish,center-behavioral-health-spalding-university
,provider,602,Centerstone,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,centerstone
,provider,604,Charis Health Center,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,charis-health-center
,provider,558,Cherokee Health Systems,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run, Therapy",,publish,cherokee-health-systems
,provider,328,Children and Adults with Attention Deficit/ Hyperactivity Disorder (CHADD) Resource Directory,ADHD,"11-17, 18+",,Youth,,,"Community Support, Peer-Run",,publish,children-and-adults-attention-deficit-hyperactivity-disorder-chadd-resource-directory
,provider,636,Choosing Therapy,,18+,x,,,,"Online, Therapy",,publish,choosing-therapy
,treatment,431,Cognitive Behavioral Therapy (CBT),,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,cognitive-behavioral-therapy-cbt
,diy,544,Cope Notes,,"Under 11, 11-17, 18+",x,,"Mobile App, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,cope-notes
,provider,557,"Covenant Counseling Center, Inc.","Anxiety, Bipolar, Borderline, Depression, PTSD","Under 11, 11-17, 18+",,"Caregiver, Parent, Youth, Workplace",,,"Online, Therapy",,publish,covenant-counseling-center-inc
,treatment,251,Cranial Electrotherapy Stimulation (CES),"Anxiety, Depression, PTSD","Under 11, 11-17, 18+",,,,,,"Alternative Medicine, Medical, Treatment Resistance",publish,cranial-electrotherapy-stimulation-ces
,diy,549,Creando rutinas saludables,,"Under 11, 11-17, 18+",x,Español/Spanish,Document,"Changing Thoughts, Confidence, Life & Trauma, Sleep, Stress",,,publish,creando-rutinas-saludables
,diy,181,Crisis Plan For Your Support System Worksheet,"Self-Harm, Suicide","Under 11, 11-17, 18+",x,"Caregiver, Crisis",Website,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,publish,crisis-plan-your-support-system-worksheet
,provider,622,CURESZ Foundation,"Psychosis, Tardive Dyskinesia","11-17, 18+",,Caregiver,,,"Community Support, Medical, Online",,publish,curesz-foundation
,diy,182,Daily Wellness Chart Worksheet,,"Under 11, 11-17, 18+",x,,"Website, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,publish,daily-wellness-chart-worksheet
,treatment,311,Dealing with Trolls in Online Support Communities,,"Under 11, 11-17, 18+",x,,,,,"Online, Social Support",publish,dealing-trolls-online-support-communities
,condition,393,Depression and anxiety after losing a pet,"Anxiety, Depression","Under 11, 11-17, 18+",,,,,,,publish,depression-and-anxiety-after-losing-pet
,provider,389,Depression and Bipolar Support Alliance,"Bipolar, Depression","11-17, 18+",,,,,"Groups, Online, Peer-Run",,publish,depression-and-bipolar-support-alliance
,diy,534,Detoxing Your Life,,"11-17, 18+",x,,Document,"Changing Thoughts, Confidence, Life & Trauma",,,publish,detoxing-your-life
,treatment,263,Dialectical Behavioral Therapy (DBT),"Borderline, Eating Disorder, Addiction, PTSD, Self-Harm, Suicide","Under 11, 11-17, 18+",x,,,,,Therapy,publish,dialectical-behavioral-therapy-dbt
,condition,419,Do I have borderline or bipolar?,"Bipolar, Borderline","Under 11, 11-17, 18+",,,,,,,publish,do-i-have-borderline-or-bipolar
,condition,273,Do I have to stop drinking forever?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,do-i-have-stop-drinking-forever
,condition,135,Do I have to take medication forever?,,"Under 11, 11-17, 18+",x,,,,,,publish,do-i-have-take-medication-forever
,condition,445,Do I have to take meds for bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,do-i-have-take-meds-bipolar
,treatment,299,Do I need to go to the hospital?,"Bipolar, Addiction, Psychosis, Self-Harm, Suicide","Under 11, 11-17, 18+",x,Crisis,,,,Medical,publish,do-i-need-go-hospital
,condition,504,Do people with bipolar know they have it?,Bipolar,"Under 11, 11-17, 18+",,Caregiver ,,,,,publish,do-people-bipolar-know-they-have-it
,condition,443,Does bipolar go away on its own?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,does-bipolar-go-away-its-own
,condition,444,Does depression go away on its own?,Depression,"Under 11, 11-17, 18+",,,,,,,publish,does-depression-go-away-its-own
,condition,512,Does mental illness go away on its own?,,"Under 11, 11-17, 18+",x,,,,,,publish,does-mental-illness-go-away-its-own
,condition,505,Does my child have bipolar?,Bipolar,"Under 11, 11-17, 18+",,Parent,,,,,publish,does-my-child-have-bipolar
,treatment,352,Donate Your Voice,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction","Under 11, 11-17, 18+",,,,,,Online,draft,donate-your-voice
,diy,548,Eliminar las influencias tÃ³xicas,,"11-17, 18+",x,Español/Spanish,Document,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Stress",,,publish,eliminar-las-influencias-toxicas
,diy,537,eM Life: Live Virtual Mindfulness,"ADHD, Anxiety, Depression, Eating Disorder, PTSD, Sleep, Addiction","11-17, 18+",,,"Website, Mobile App","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,em-life-live-virtual-mindfulness
,provider,319,Emotions Anonymous,,"11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,publish,emotions-anonymous
,connect,545,Empower Work,"Anxiety, Loneliness",18+,,Workplace,,,,,publish,empower-work
,provider,392,e-Psychiatry Telepsych,,18+,x,,,,"Online, Therapy",,publish,e-psychiatry-telepsych
,diy,373,eQuoo the Emotional Fitness Game,,"11-17, 18+",x,,Mobile App,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Stress",,,publish,equoo-emotional-fitness-game
,condition,612,Experiencing abuse in an LGBTQ+ relationship,"Relationships, Trauma","Under 11, 11-17, 18+",,LGBTQ+,,,,,publish,experiencing-abuse-lgbtq-relationship
,provider,330,Family Care Navigator,,18+,x,Caregiver,,,Community Support,,publish,family-care-navigator
,condition,466,Feeling lonely in a crowd,"Anxiety, Borderline, Depression, Loneliness, PTSD","Under 11, 11-17, 18+",,Youth,,,,,publish,feeling-lonely-crowd
,diy,184,Financial Growth Guide,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction","11-17, 18+",,,Other,"Changing Thoughts, Confidence",,,draft,financial-growth-guide
,provider,329,Find A Health Center,,"11-17, 18+",x,,,,Community Support,,publish,find-health-center
,provider,317,Find Low Cost or No Cost Treatment,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Medical, Peer-Run, Therapy",,publish,find-low-cost-or-no-cost-treatment
,treatment,300,Finding a Hospital,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction, Self-Harm","Under 11, 11-17, 18+",,,,,,Medical,publish,finding-hospital
,treatment,252,Folate,Depression,"Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,folate
,provider,320,Gamblers Anonymous,Addiction,18+,,,,,"Community Support, Groups, Peer-Run",,publish,gamblers-anonymous
,treatment,305,Getting the Most out of Therapy,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,getting-most-out-therapy
,treatment,253,Ginkgo Biloba,"Psychosis, ADHD, Depression","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,ginkgo-biloba
,provider,618,Glimmer,,18+,x,LGBTQ+,,,"Community Support, Online, Therapy",,publish,glimmer
,diy,555,Gratitude Card,,"Under 11, 11-17, 18+",x,,Document,"Anger, Changing Thoughts, Life & Trauma, Sadness, Stress",,,publish,gratitude-card
,diy,185,Guided Journal,,"Under 11, 11-17, 18+",x,,Document,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress",,,publish,guided-journal
,provider,335,Happy - Talk to a Support Giver,,18+,x,,,,"Community Support, Online",,publish,happy-talk-support-giver
,connect,489,Hearing Voices Research,Psychosis,18+,,,,,,,publish,hearing-voices-research
,diy,186,Helpful vs. Harmful Ways to Manage Emotions,"Bipolar, Borderline, Addiction, Eating Disorder","Under 11, 11-17, 18+",x,Youth,Other,"Anger, Changing Thoughts, Fear, Sadness",,,publish,helpful-vs-harmful-ways-manage-emotions
,provider,195,Helpline: Mental Health GPS (Guiding People to Services),Self-Harm,"11-17, 18+",x,,,,Community Support,,publish,helpline-mental-health-gps-guiding-people-services
,diy,187,How Am I Doing Checklist,,"Under 11, 11-17, 18+",x,,Other,"Changing Thoughts, Confidence",,,draft,how-am-i-doing-checklist
,condition,223,How are depression and bipolar different?,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,how-are-depression-and-bipolar-different
,condition,496,How can I access a loved one's health care info?,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-access-loved-ones-health-care-info
,condition,460,How can I achieve better work-life balance?,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,how-can-i-achieve-better-work-life-balance
,condition,576,How can I be ok when the world is terrible?,"Anxiety, Depression, Loneliness, PTSD, Trauma","Under 11, 11-17, 18+",x,Youth,,,,,publish,how-can-i-be-ok-when-world-terrible
,condition,283,How can I explain my eating disorder to other people?,Eating Disorder,"Under 11, 11-17, 18+",,,,,,,publish,how-can-i-explain-my-eating-disorder-other-people
,treatment,310,How can I find accurate mental health information online?,,"Under 11, 11-17, 18+",x,,,,,Online,publish,how-can-i-find-accurate-mental-health-information-online
,condition,484,How can I find support as a caregiver?,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-find-support-caregiver
,treatment,448,How can I get help without my family knowing?,"Relationships, Trauma","Under 11, 11-17, 18+",x,Youth,,,,"Social Support, Online",publish,how-can-i-get-help-without-my-family-knowing
,treatment,459,How can I get mental health help in a small town?,,"Under 11, 11-17, 18+",x,,,,,"Social Support, Medical, Online, Therapy",publish,how-can-i-get-mental-health-help-small-town
,condition,488,How can I help a loved one with a mental illness?,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-help-loved-one-mental-illness
,condition,266,How can I help a loved one with anxiety?,"Anxiety, PTSD","Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-help-loved-one-anxiety
,condition,229,How can I help a loved one with bipolar?,Bipolar,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-help-loved-one-bipolar
,condition,296,How can I help a loved one with PTSD?,PTSD,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-help-loved-one-ptsd
,condition,420,How can I improve my mental health on my own?,,"Under 11, 11-17, 18+",x,,,,,,publish,how-can-i-improve-my-mental-health-my-own
,treatment,456,How can I manage my emotions?,,"Under 11, 11-17, 18+",x,,,,,Lifestyle Changes,publish,how-can-i-manage-my-emotions
,condition,473,How can I manage my mental health while working from home?,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,how-can-i-manage-my-mental-health-while-working-home
,condition,464,How can I manage stress at work?,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,how-can-i-manage-stress-work
,treatment,440,How can I recover from bipolar disorder on my own?,Bipolar,"Under 11, 11-17, 18+",,,,,,"Social Support, Lifestyle Changes, Online",publish,how-can-i-recover-bipolar-disorder-my-own
,condition,626,How can I set boundaries with my family?,"Relationships, Trauma","Under 11, 11-17, 18+",,Youth,,,,,publish,how-can-i-set-boundaries-my-family
,condition,274,How can I stop drinking?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,how-can-i-stop-drinking
,condition,275,How can I stop using drugs?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,how-can-i-stop-using-drugs
,condition,503,How can I take care of someone if I also have a mental illness?,,"Under 11, 11-17, 18+",x,Caregiver,,,,,publish,how-can-i-take-care-someone-if-i-also-have-mental-illness
,treatment,458,How can I take charge of my own mental health?,,"Under 11, 11-17, 18+",x,,,,,"Alternative Medicine, Community Support, Lifestyle Changes, Medical, Medical, Online, Therapy",publish,how-can-i-take-charge-my-own-mental-health
,condition,630,How can I tell someone Iâ€™m harming myself?,Self-Harm,"Under 11, 11-17, 18+",,,,,,,publish,how-can-i-tell-someone-im-harming-myself
,condition,634,How can I tell someone Iâ€™m suicidal?,Suicide,"Under 11, 11-17, 18+",,,,,,,publish,how-can-i-tell-someone-im-suicidal
,condition,487,How can I work with my loved one's mental health care providers?,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-can-i-work-my-loved-ones-mental-health-care-providers
,condition,593,How common is anxiety?,Anxiety,"Under 11, 11-17, 18+",,,,,,,publish,how-common-anxiety
,condition,509,How common is bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,how-common-bipolar
,condition,518,How common is mental illness?,,"Under 11, 11-17, 18+",x,,,,,,publish,how-common-mental-illness
,condition,217,How do I ask my friends and family for help?,,"Under 11, 11-17, 18+",x,,,,,,publish,how-do-i-ask-my-friends-and-family-help
,condition,374,How do I convince people my kid isnâ€™t dangerous?,,"Under 11, 11-17, 18+",,Parent,,,,,publish,how-do-i-convince-people-my-kid-isnt-dangerous
,treatment,246,How do I find a therapist?,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,how-do-i-find-therapist
,treatment,242,How do I find LGBTQ friendly therapy?,,"Under 11, 11-17, 18+",x,LGBTQ+,,,,Therapy,publish,how-do-i-find-lgbtq-friendly-therapy
,treatment,243,How do I find religious focused therapy?,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,how-do-i-find-religious-focused-therapy
,treatment,614,How do I find the right medication for my mental health?,,"Under 11, 11-17, 18+",x,,,,,Medical,publish,how-do-i-find-right-medication-my-mental-health
,treatment,198,How do I get a service animal?,"OCD, PTSD, Psychosis, Depression, Anxiety, Bipolar, Self-Harm","Under 11, 11-17, 18+",x,,,,,"Alternative Medicine, Lifestyle Changes",publish,how-do-i-get-service-animal
,treatment,455,How do I get an emotional support animal?,,"Under 11, 11-17, 18+",x,,,,,"Alternative Medicine, Lifestyle Changes",publish,how-do-i-get-emotional-support-animal
,condition,405,How do I get special ed services for my child?,,"Under 11, 11-17, 18+",,Parent,,,,,publish,how-do-i-get-special-ed-services-my-child
,condition,461,How do I handle a workplace bully?,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,how-do-i-handle-workplace-bully
,condition,133,How do I know if I am manic or depressed?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,how-do-i-know-if-i-am-manic-or-depressed
,condition,383,How do I know if I have a mental Illness?,,"Under 11, 11-17, 18+",x,,,,,,publish,how-do-i-know-if-i-have-mental-illness
,condition,491,How do I know if I'm enabling someone?,Relationships,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-do-i-know-if-im-enabling-someone
,condition,463,How do I stay clean and sober while I'm stuck at home?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,how-do-i-stay-clean-and-sober-while-im-stuck-home
,condition,366,How do I stop cutting?,Self-Harm,"Under 11, 11-17, 18+",,,,,,,publish,how-do-i-stop-cutting
,condition,289,How do I tell someone I have a problem?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,how-do-i-tell-someone-i-have-problem
,condition,306,How do you treat anxiety?,"Anxiety, PTSD","Under 11, 11-17, 18+",,,,,,,publish,how-do-you-treat-anxiety
,condition,206,How do you treat bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,how-do-you-treat-bipolar
,condition,141,How do you treat depression?,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,how-do-you-treat-depression
,condition,423,How do you treat mental illness?,,"Under 11, 11-17, 18+",x,,,,,,publish,how-do-you-treat-mental-illness
,condition,294,How do you treat PTSD?,"Anxiety, PTSD","Under 11, 11-17, 18+",,,,,,,publish,how-do-you-treat-ptsd
,treatment,527,How do you treat tardive dyskinesia?,Tardive Dyskinesia,"Under 11, 11-17, 18+",,,,,,"Alternative Medicine, Medical",publish,how-do-you-treat-tardive-dyskinesia
,treatment,312,How does online therapy work?,,"Under 11, 11-17, 18+",x,,,,,"Online, Therapy",publish,how-does-online-therapy-work
,treatment,413,How does therapy work? What to expect,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,how-does-therapy-work-what-expect
,condition,128,How fast do anxiety meds work?,"Anxiety, Bipolar, Borderline, Depression, OCD, Postpartum Depression, PTSD, Sleep","Under 11, 11-17, 18+",,,,,,,publish,how-fast-do-anxiety-meds-work
,condition,506,How fast do bipolar meds work?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,how-fast-do-bipolar-meds-work
,condition,143,How fast do depression meds work?,"Depression, Postpartum Depression, Anxiety, Bipolar, OCD, Sleep","Under 11, 11-17, 18+",,,,,,,publish,how-fast-do-depression-meds-work
,treatment,615,How fast do mental health meds work?,,"Under 11, 11-17, 18+",x,,,,,Medical,publish,how-fast-do-mental-health-meds-work
,treatment,297,How health insurance works,,"Under 11, 11-17, 18+",x,,,,,"Medical, Therapy, Medical",publish,how-health-insurance-works
,diy,367,How to Calm Your Mind,"Anxiety, Bipolar, Psychosis, Addiction, PTSD, Sleep, Trauma","Under 11, 11-17, 18+",,,Document,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress",,,publish,how-calm-your-mind
,treatment,591,How to find an anti-racist therapist,,"Under 11, 11-17, 18+",x,BIPOC,,,,Therapy,publish,how-find-anti-racist-therapist
,condition,536,How to get out of a funk,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,how-get-out-funk
,condition,486,How to help someone get motivated,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-help-someone-get-motivated
,condition,500,How to help someone make decisions about their mental health,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,how-help-someone-make-decisions-about-their-mental-health
,diy,239,How to Identify Feelings - So You Can Deal with Them,"ADHD, PTSD, Addiction, Eating Disorder, Depression, Anxiety, Trauma","Under 11, 11-17, 18+",x,,Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Stress",,,publish,how-identify-feelings-so-you-can-deal-them
,treatment,480,How to keep a mental health journal,,"Under 11, 11-17, 18+",x,,,,,Lifestyle Changes,publish,how-keep-mental-health-journal
,diy,237,How to Talk to Your Parents about Mental Health,,"Under 11, 11-17, 18+",x,Youth,Other,"Confidence, Fear, Stress",,,publish,how-talk-your-parents-about-mental-health
,treatment,298,How to use your health insurance,,"Under 11, 11-17, 18+",x,,,,,"Medical, Therapy, Medical",publish,how-use-your-health-insurance
,condition,613,I canâ€™t get over things that happened in the past,"Anxiety, Depression, PTSD, Addiction, Trauma","Under 11, 11-17, 18+",,,,,,,publish,i-cant-get-over-things-happened-past
